Plate,Well,Buffer,Temperature,Time_Factor,Time_Cont,Extraction,Technical_rep,PCR_rep,qs_conc_pg/mL,qs_conc_adjusted,Eamc_sample,Cq_sample,No_standard,Eamc_standard,Cq_standard,No_sample_ng/ul,No_sample_pg/mL
1 eDNA Pres I,G4,Ethanol,4,2 weeks,2,Kit,2,3,25550.602,25550.602,1.768,28.72,1.14,1.819,22.686,0.069888433,69888.4329
2 eDNA Pres I,A4,Ethanol,4,2 weeks,2,Kit,2,4,18617.53128,18617.53128,1.656,29.082,1.14,1.813,22.66,0.346209944,346209.9439
2 eDNA Pres I,A5,Ethanol,4,2 weeks,2,Kit,2,5,20720.22483,20720.22483,1.666,28.93,1.14,1.813,22.66,0.316992143,316992.1433
2 eDNA Pres I,A6,Ethanol,4,2 weeks,2,Kit,2,6,20402.41845,20402.41845,1.675,28.976,1.14,1.813,22.66,0.264433348,264433.3476
2 eDNA Pres I,B4,Ethanol,4,2 weeks,2,Kit,2,7,21871.97842,21871.97842,1.689,28.879,1.14,1.813,22.66,0.217551927,217551.9268
2 eDNA Pres I,B5,Ethanol,4,2 weeks,2,Kit,2,8,22136.12944,22136.12944,1.671,28.836,1.14,1.813,22.66,0.306253222,306253.2223
2 eDNA Pres I,B6,Ethanol,4,2 weeks,2,Kit,2,9,20613.01842,20613.01842,1.672,28.933,1.14,1.813,22.66,0.284799163,284799.1626
2 eDNA Pres I,F1,Ethanol,4,2 weeks,2,Kit,3,1,21485.32867,21485.32867,1.73,28.989,1.14,1.813,22.66,0.102542248,102542.2482
2 eDNA Pres I,F2,Ethanol,4,2 weeks,2,Kit,3,2,21355.27879,21355.27879,1.706,28.946,1.14,1.813,22.66,0.156437003,156437.003
2 eDNA Pres I,F3,Ethanol,4,2 weeks,2,Kit,3,3,23835.04249,23835.04249,1.687,28.755,1.14,1.813,22.66,0.239321184,239321.1836
2 eDNA Pres I,F4,Ethanol,4,2 weeks,2,Kit,3,4,24290.30836,24290.30836,1.698,28.707,1.14,1.813,22.66,0.205426382,205426.3821
2 eDNA Pres I,F5,Ethanol,4,2 weeks,2,Kit,3,5,20631.38969,20631.38969,1.663,28.922,1.14,1.813,22.66,0.332365134,332365.1338
2 eDNA Pres I,F6,Ethanol,4,2 weeks,2,Kit,3,6,21111.61128,21111.61128,1.662,28.859,1.14,1.813,22.66,0.353046421,353046.421
2 eDNA Pres I,F7,Ethanol,4,2 weeks,2,Kit,3,7,24526.69665,24526.69665,1.723,28.682,1.14,1.813,22.66,0.136733752,136733.7522
2 eDNA Pres I,F8,Ethanol,4,2 weeks,2,Kit,3,8,22537.07871,22537.07871,1.653,28.761,1.14,1.813,22.66,0.427259564,427259.5645
2 eDNA Pres I,F9,Ethanol,4,2 weeks,2,Kit,3,9,21829.90313,21829.90313,1.66,28.832,1.14,1.813,22.66,0.367369036,367369.036
Plate 55_eDNA reps J,D8,Ethanol,4,2 weeks,2,Kit,4,1,19986.74311,19986.74311,1.808,28.667,1.14,1.8,22.457,0.026330899,26330.899
Plate 55_eDNA reps J,D9,Ethanol,4,2 weeks,2,Kit,4,2,21422.39735,21422.39735,1.856,28.651,1.14,1.8,22.457,0.012369369,12369.36902
Plate 55_eDNA reps J,D10,Ethanol,4,2 weeks,2,Kit,4,3,20550.57697,20550.57697,1.88,28.723,1.14,1.8,22.457,0.008220706,8220.705592
Plate 55_eDNA reps J,E8,Ethanol,4,2 weeks,2,Kit,4,4,20997.8465,20997.8465,1.844,28.644,1.14,1.8,22.457,0.015067899,15067.89898
Plate 55_eDNA reps J,E9,Ethanol,4,2 weeks,2,Kit,4,5,23129.35144,23129.35144,1.848,28.494,1.14,1.8,22.457,0.015515963,15515.96291
Plate 55_eDNA reps J,E10,Ethanol,4,2 weeks,2,Kit,4,6,20863.55351,20863.55351,1.863,28.688,1.14,1.8,22.457,0.010963728,10963.72773
Plate 55_eDNA reps J,F8,Ethanol,4,2 weeks,2,Kit,4,7,20716.33004,20716.33004,1.824,28.611,1.14,1.8,22.457,0.020900412,20900.41186
Plate 55_eDNA reps J,F9,Ethanol,4,2 weeks,2,Kit,4,8,21925.99326,21925.99326,1.809,28.545,1.14,1.8,22.457,0.027512338,27512.33818
Plate 55_eDNA reps J,G8,Ethanol,4,2 weeks,2,Kit,4,9,19838.37597,19838.37597,1.806,28.657,1.14,1.8,22.457,0.026945868,26945.86819
1 eDNA Pres I,F1,Frozen,-80,2 weeks,2,Kit,1,1,33706.26643,33706.26643,1.833,28.372,1.14,1.819,22.686,0.03040663,30406.62996
1 eDNA Pres I,F2,Frozen,-80,2 weeks,2,Kit,1,2,39663.70225,39663.70225,1.81,28.063,1.14,1.819,22.686,0.052306998,52306.998
1 eDNA Pres I,F3,Frozen,-80,2 weeks,2,Kit,1,3,39100.74756,39100.74756,1.794,28.066,1.14,1.819,22.686,0.066750428,66750.42845
1 eDNA Pres I,F4,Frozen,-80,2 weeks,2,Kit,1,4,40563.03203,40563.03203,1.793,28.004,1.14,1.819,22.686,0.071275769,71275.76941
1 eDNA Pres I,F5,Frozen,-80,2 weeks,2,Kit,1,5,40574.03281,40574.03281,1.83,28.031,1.14,1.819,22.686,0.039368344,39368.34427
1 eDNA Pres I,F6,Frozen,-80,2 weeks,2,Kit,1,6,43036.7738,43036.7738,1.785,27.908,1.14,1.819,22.686,0.084483079,84483.07861
1 eDNA Pres I,F7,Frozen,-80,2 weeks,2,Kit,1,7,38311.69754,38311.69754,1.801,28.08,1.14,1.819,22.686,0.059420633,59420.63299
1 eDNA Pres I,F8,Frozen,-80,2 weeks,2,Kit,1,8,37298.10193,37298.10193,1.832,28.192,1.14,1.819,22.686,0.034771132,34771.13199
1 eDNA Pres I,F9,Frozen,-80,2 weeks,2,Kit,1,9,36379.38201,36379.38201,1.768,28.107,1.14,1.819,22.686,0.099113258,99113.25813
2 eDNA Pres I,B11,Frozen,-80,2 weeks,2,Kit,2,1,41734.59485,41734.59485,1.731,27.83,1.14,1.813,22.66,0.191149555,191149.5553
2 eDNA Pres I,B12,Frozen,-80,2 weeks,2,Kit,2,2,38428.32893,38428.32893,1.762,28.043,1.14,1.813,22.66,0.102675537,102675.537
2 eDNA Pres I,C11,Frozen,-80,2 weeks,2,Kit,2,3,40032.63265,40032.63265,1.755,27.911,1.14,1.813,22.66,0.124676145,124676.1445
2 eDNA Pres I,C12,Frozen,-80,2 weeks,2,Kit,2,4,37380.61711,37380.61711,1.745,28.017,1.14,1.813,22.66,0.138374446,138374.4457
2 eDNA Pres I,D12,Frozen,-80,2 weeks,2,Kit,2,5,42627.6736,42627.6736,1.71,27.78,1.14,1.813,22.66,0.273449635,273449.6349
2 eDNA Pres I,E12,Frozen,-80,2 weeks,2,Kit,2,6,50394.25567,50394.25567,1.786,27.556,1.14,1.813,22.66,0.093459185,93459.18525
2 eDNA Pres I,F12,Frozen,-80,2 weeks,2,Kit,2,7,50677.69065,50677.69065,1.817,27.54,1.14,1.813,22.66,0.058782561,58782.56084
2 eDNA Pres I,G12,Frozen,-80,2 weeks,2,Kit,2,8,52530.88847,52530.88847,1.805,27.472,1.14,1.813,22.66,0.073091755,73091.75455
2 eDNA Pres I,H9,Frozen,-80,2 weeks,2,Kit,2,9,34054.9387,34054.9387,1.732,28.127,1.14,1.813,22.66,0.158401846,158401.8458
6 eDNA Pres I,A4,Frozen,-80,2 weeks,2,Kit,3,1,32355.54323,32355.54323,1.791,27.993,1.14,1.785,22.548,0.044513173,44513.17293
6 eDNA Pres I,A5,Frozen,-80,2 weeks,2,Kit,3,2,40360.56623,40360.56623,1.79,27.625,1.14,1.785,22.548,0.055977536,55977.53641
6 eDNA Pres I,A6,Frozen,-80,2 weeks,2,Kit,3,3,39081.43193,39081.43193,1.786,27.666,1.14,1.785,22.548,0.058108097,58108.09667
6 eDNA Pres I,A7,Frozen,-80,2 weeks,2,Kit,3,4,39720.08079,39720.08079,1.828,27.712,1.14,1.785,22.548,0.029643586,29643.5864
6 eDNA Pres I,A8,Frozen,-80,2 weeks,2,Kit,3,5,41229.15119,41229.15119,1.818,27.618,1.14,1.785,22.548,0.036176876,36176.87606
6 eDNA Pres I,A9,Frozen,-80,2 weeks,2,Kit,3,6,42309.13147,42309.13147,1.833,27.594,1.14,1.785,22.548,0.029614371,29614.37061
6 eDNA Pres I,A10,Frozen,-80,2 weeks,2,Kit,3,7,40136.03926,40136.03926,1.831,27.686,1.14,1.785,22.548,0.028837333,28837.33317
6 eDNA Pres I,A11,Frozen,-80,2 weeks,2,Kit,3,8,38462.46377,38462.46377,1.802,27.72,1.14,1.785,22.548,0.043454272,43454.27214
6 eDNA Pres I,A12,Frozen,-80,2 weeks,2,Kit,3,9,39641.39894,39641.39894,1.811,27.749,1.14,1.785,22.548,0.03746868,37468.67998
6 eDNA Pres I,B4,Frozen,-80,2 weeks,2,Kit,4,1,24615.38464,24615.38464,1.815,28.404,1.14,1.785,22.548,0.023967518,23967.51823
6 eDNA Pres I,B5,Frozen,-80,2 weeks,2,Kit,4,2,27519.71222,27519.71222,1.794,28.225,1.14,1.785,22.548,0.03704085,37040.8504
6 eDNA Pres I,B6,Frozen,-80,2 weeks,2,Kit,4,3,29703.58729,29703.58729,1.807,28.126,1.14,1.785,22.548,0.031937525,31937.52539
6 eDNA Pres I,C4,Frozen,-80,2 weeks,2,Kit,4,4,33478.82628,33478.82628,1.75,27.839,1.14,1.785,22.548,0.091856276,91856.27577
6 eDNA Pres I,C5,Frozen,-80,2 weeks,2,Kit,4,5,34757.08142,34757.08142,1.784,27.85,1.14,1.785,22.548,0.053673579,53673.57869
6 eDNA Pres I,C6,Frozen,-80,2 weeks,2,Kit,4,6,29887.11186,29887.11186,1.846,28.159,1.14,1.785,22.548,0.017040279,17040.27933
6 eDNA Pres I,D4,Frozen,-80,2 weeks,2,Kit,4,7,32890.41296,32890.41296,1.801,27.979,1.14,1.785,22.548,0.038404633,38404.63319
6 eDNA Pres I,D5,Frozen,-80,2 weeks,2,Kit,4,8,31366.68727,31366.68727,1.744,27.913,1.14,1.785,22.548,0.096635752,96635.75166
